TEST_GROUP,TEST_ITEM,CONDITIONAL_ITEM,DESCRIPTION,FUNCTION,PARAMETER,PDCA_NAME,,GLOBAL_VARIABLE,EXPECTED_VALUE,UNIT,PDCA_TYPE,TIMEOUT,ERROR_MSG,SA_FCM,NOTES,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_3,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW3_COL3,,1_SENSOR_TOUCH_AVERAGE_22,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_4,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW3_COL4,,1_SENSOR_TOUCH_AVERAGE_23,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_5,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW3_COL5,,1_SENSOR_TOUCH_AVERAGE_24,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_0,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW4_COL0,,1_SENSOR_TOUCH_AVERAGE_25,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_1,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW4_COL1,,1_SENSOR_TOUCH_AVERAGE_26,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_2,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW4_COL2,,1_SENSOR_TOUCH_AVERAGE_27,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_3,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW4_COL3,,1_SENSOR_TOUCH_AVERAGE_28,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_4,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW4_COL4,,1_SENSOR_TOUCH_AVERAGE_29,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_5,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW4_COL5,,1_SENSOR_TOUCH_AVERAGE_30,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_0,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW5_COL0,,1_SENSOR_TOUCH_AVERAGE_31,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_1,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW5_COL1,,1_SENSOR_TOUCH_AVERAGE_32,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_2,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW5_COL2,,1_SENSOR_TOUCH_AVERAGE_33,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_3,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW5_COL3,,1_SENSOR_TOUCH_AVERAGE_34,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_4,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW5_COL4,,1_SENSOR_TOUCH_AVERAGE_35,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_5,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW5_COL5,,1_SENSOR_TOUCH_AVERAGE_36,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_0,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW6_COL0,,1_SENSOR_TOUCH_AVERAGE_37,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_1,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW6_COL1,,1_SENSOR_TOUCH_AVERAGE_38,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_2,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW6_COL2,,1_SENSOR_TOUCH_AVERAGE_39,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_3,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW6_COL3,,1_SENSOR_TOUCH_AVERAGE_40,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_4,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW6_COL4,,1_SENSOR_TOUCH_AVERAGE_41,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_5,62.5kHz_1_SENSOR_TOUCH_AVERAGE_ROW6_COL5,,1_SENSOR_TOUCH_AVERAGE_42,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Get WriteCMD_2,GRAPE_TEST(2),WriteCMD_2,,,WRITE_2,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,DIAGS,hid -w $WRITE_2$,,,,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_0_0,62.5kHz_2_HID_1,,2_HID_1,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_0_1,62.5kHz_2_HID_2,,2_HID_2,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_0_2,62.5kHz_2_HID_3,,2_HID_3,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_0_3,62.5kHz_2_HID_4,,2_HID_4,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_1_0,62.5kHz_2_HID_5,,2_HID_5,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_1_1,62.5kHz_2_HID_6,,2_HID_6,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_1_2,62.5kHz_2_HID_7,,2_HID_7,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_1_3,62.5kHz_2_HID_8,,2_HID_8,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_2_0,62.5kHz_2_HID_9,,2_HID_9,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_2_1,62.5kHz_2_HID_10,,2_HID_10,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_2_2,62.5kHz_2_HID_11,,2_HID_11,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_2_3,62.5kHz_2_HID_12,,2_HID_12,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_3_0,62.5kHz_2_HID_13,,2_HID_13,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_3_1,62.5kHz_2_HID_14,,2_HID_14,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_3_2,62.5kHz_2_HID_15,,2_HID_15,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_3_3,62.5kHz_2_HID_16,,2_HID_16,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_4_0,62.5kHz_2_HID_17,,2_HID_17,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_4_1,62.5kHz_2_HID_18,,2_HID_18,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_4_2,62.5kHz_2_HID_19,,2_HID_19,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_4_3,62.5kHz_2_HID_20,,2_HID_20,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_5_0,62.5kHz_2_HID_21,,2_HID_21,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_5_1,62.5kHz_2_HID_22,,2_HID_22,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_5_2,62.5kHz_2_HID_23,,2_HID_23,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_5_3,62.5kHz_2_HID_24,,2_HID_24,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_6_0,62.5kHz_2_HID_25,,2_HID_25,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_6_1,62.5kHz_2_HID_26,,2_HID_26,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_6_2,62.5kHz_2_HID_27,,2_HID_27,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_6_3,62.5kHz_2_HID_28,,2_HID_28,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_7_0,62.5kHz_2_HID_29,,2_HID_29,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_7_1,62.5kHz_2_HID_30,,2_HID_30,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_7_2,62.5kHz_2_HID_31,,2_HID_31,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_7_3,62.5kHz_2_HID_32,,2_HID_32,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_8_0,62.5kHz_2_HID_33,,2_HID_33,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_8_1,62.5kHz_2_HID_34,,2_HID_34,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_8_2,62.5kHz_2_HID_35,,2_HID_35,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_8_3,62.5kHz_2_HID_36,,2_HID_36,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_9_0,62.5kHz_2_HID_37,,2_HID_37,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_9_1,62.5kHz_2_HID_38,,2_HID_38,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_9_2,62.5kHz_2_HID_39,,2_HID_39,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_9_3,62.5kHz_2_HID_40,,2_HID_40,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_10_0,62.5kHz_2_HID_41,,2_HID_41,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_2,PARSE,HID_10_1,62.5kHz_2_HID_42,,2_HID_42,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Sample Touch Data_62.5kHz_2,DIAGS,sensor --sel touch --sample 50 --stats --quiet,,,,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_0_0,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW0_COL0,,2_SENSOR_TOUCH_AVERAGE_1,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_0_1,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW0_COL1,,2_SENSOR_TOUCH_AVERAGE_2,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_0_2,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW0_COL2,,2_SENSOR_TOUCH_AVERAGE_3,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_0_3,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW0_COL3,,2_SENSOR_TOUCH_AVERAGE_4,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_0_4,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW0_COL4,,2_SENSOR_TOUCH_AVERAGE_5,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_0_5,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW0_COL5,,2_SENSOR_TOUCH_AVERAGE_6,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_1_0,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW1_COL0,,2_SENSOR_TOUCH_AVERAGE_7,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_1_1,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW1_COL1,,2_SENSOR_TOUCH_AVERAGE_8,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_1_2,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW1_COL2,,2_SENSOR_TOUCH_AVERAGE_9,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_1_3,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW1_COL3,,2_SENSOR_TOUCH_AVERAGE_10,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_1_4,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW1_COL4,,2_SENSOR_TOUCH_AVERAGE_11,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_1_5,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW1_COL5,,2_SENSOR_TOUCH_AVERAGE_12,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_2_0,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW2_COL0,,2_SENSOR_TOUCH_AVERAGE_13,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_2_1,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW2_COL1,,2_SENSOR_TOUCH_AVERAGE_14,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_2_2,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW2_COL2,,2_SENSOR_TOUCH_AVERAGE_15,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_2_3,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW2_COL3,,2_SENSOR_TOUCH_AVERAGE_16,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_2_4,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW2_COL4,,2_SENSOR_TOUCH_AVERAGE_17,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_2_5,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW2_COL5,,2_SENSOR_TOUCH_AVERAGE_18,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_0,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW3_COL0,,2_SENSOR_TOUCH_AVERAGE_19,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_1,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW3_COL1,,2_SENSOR_TOUCH_AVERAGE_20,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_2,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW3_COL2,,2_SENSOR_TOUCH_AVERAGE_21,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_3,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW3_COL3,,2_SENSOR_TOUCH_AVERAGE_22,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_4,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW3_COL4,,2_SENSOR_TOUCH_AVERAGE_23,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_3_5,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW3_COL5,,2_SENSOR_TOUCH_AVERAGE_24,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_0,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW4_COL0,,2_SENSOR_TOUCH_AVERAGE_25,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_1,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW4_COL1,,2_SENSOR_TOUCH_AVERAGE_26,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_2,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW4_COL2,,2_SENSOR_TOUCH_AVERAGE_27,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_3,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW4_COL3,,2_SENSOR_TOUCH_AVERAGE_28,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_4,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW4_COL4,,2_SENSOR_TOUCH_AVERAGE_29,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_4_5,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW4_COL5,,2_SENSOR_TOUCH_AVERAGE_30,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_0,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW5_COL0,,2_SENSOR_TOUCH_AVERAGE_31,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_1,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW5_COL1,,2_SENSOR_TOUCH_AVERAGE_32,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_2,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW5_COL2,,2_SENSOR_TOUCH_AVERAGE_33,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_3,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW5_COL3,,2_SENSOR_TOUCH_AVERAGE_34,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_4,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW5_COL4,,2_SENSOR_TOUCH_AVERAGE_35,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_5_5,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW5_COL5,,2_SENSOR_TOUCH_AVERAGE_36,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_0,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW6_COL0,,2_SENSOR_TOUCH_AVERAGE_37,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_1,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW6_COL1,,2_SENSOR_TOUCH_AVERAGE_38,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_2,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW6_COL2,,2_SENSOR_TOUCH_AVERAGE_39,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_3,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW6_COL3,,2_SENSOR_TOUCH_AVERAGE_40,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_4,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW6_COL4,,2_SENSOR_TOUCH_AVERAGE_41,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Parse Touch Data,PARSE,SENSOR_TOUCH_AVERAGE_6_5,62.5kHz_2_SENSOR_TOUCH_AVERAGE_ROW6_COL5,,2_SENSOR_TOUCH_AVERAGE_42,,,KEY,,,TRUE,DC - 42916589,,
FCM,GRAPE,,Get WriteCMD_3,GRAPE_TEST(3),WriteCMD_3,,,WRITE_3,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,DIAGS,hid -w $WRITE_3$,,,,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_0_0,62.5kHz_3_HID_1,,3_HID_1,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_0_1,62.5kHz_3_HID_2,,3_HID_2,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_0_2,62.5kHz_3_HID_3,,3_HID_3,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_0_3,62.5kHz_3_HID_4,,3_HID_4,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_1_0,62.5kHz_3_HID_5,,3_HID_5,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_1_1,62.5kHz_3_HID_6,,3_HID_6,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_1_2,62.5kHz_3_HID_7,,3_HID_7,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_1_3,62.5kHz_3_HID_8,,3_HID_8,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_2_0,62.5kHz_3_HID_9,,3_HID_9,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_2_1,62.5kHz_3_HID_10,,3_HID_10,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_2_2,62.5kHz_3_HID_11,,3_HID_11,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_2_3,62.5kHz_3_HID_12,,3_HID_12,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_3_0,62.5kHz_3_HID_13,,3_HID_13,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_3_1,62.5kHz_3_HID_14,,3_HID_14,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_3_2,62.5kHz_3_HID_15,,3_HID_15,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_3_3,62.5kHz_3_HID_16,,3_HID_16,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_4_0,62.5kHz_3_HID_17,,3_HID_17,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_4_1,62.5kHz_3_HID_18,,3_HID_18,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_4_2,62.5kHz_3_HID_19,,3_HID_19,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_4_3,62.5kHz_3_HID_20,,3_HID_20,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_5_0,62.5kHz_3_HID_21,,3_HID_21,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_5_1,62.5kHz_3_HID_22,,3_HID_22,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_5_2,62.5kHz_3_HID_23,,3_HID_23,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_5_3,62.5kHz_3_HID_24,,3_HID_24,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_6_0,62.5kHz_3_HID_25,,3_HID_25,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_6_1,62.5kHz_3_HID_26,,3_HID_26,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_6_2,62.5kHz_3_HID_27,,3_HID_27,,,,,,TRUE,DC - 42916589,,
FCM,GRAPE,,mtreports settings_3,PARSE,HID_6_3,62.5kHz_3_HID_28,,3_HID_28,,,,,,TRUE,DC - 42916589,,
